Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1666454625,2022-10-22T16:03:45Z,WZZ99RM,"52.176495,20.962778",0,0,241
1666454802,2022-10-22T16:06:42Z,WZZ99RM,"52.17643,20.962563",0,3,241
1666454816,2022-10-22T16:06:56Z,WZZ99RM,"52.176319,20.962248",0,5,241
1666454821,2022-10-22T16:07:01Z,WZZ99RM,"52.176235,20.962048",0,6,233
1666454828,2022-10-22T16:07:08Z,WZZ99RM,"52.176006,20.962143",0,8,177
1666454837,2022-10-22T16:07:17Z,WZZ99RM,"52.175766,20.962391",0,7,154
1666454844,2022-10-22T16:07:24Z,WZZ99RM,"52.17556,20.962563",0,7,151
1666454852,2022-10-22T16:07:32Z,WZZ99RM,"52.175316,20.962778",0,8,151
1666454861,2022-10-22T16:07:41Z,WZZ99RM,"52.175003,20.963053",0,11,151
1666454868,2022-10-22T16:07:48Z,WZZ99RM,"52.174656,20.963366",0,14,151
1666454873,2022-10-22T16:07:53Z,WZZ99RM,"52.174313,20.96365",0,15,151
1666454880,2022-10-22T16:08:00Z,WZZ99RM,"52.173855,20.96405",0,17,151
1666454886,2022-10-22T16:08:06Z,WZZ99RM,"52.173351,20.964489",0,18,151
1666454891,2022-10-22T16:08:11Z,WZZ99RM,"52.172939,20.964851",0,19,151
1666454898,2022-10-22T16:08:18Z,WZZ99RM,"52.172409,20.965307",0,19,151
1666454904,2022-10-22T16:08:24Z,WZZ99RM,"52.171909,20.96574",0,18,151
1666454910,2022-10-22T16:08:30Z,WZZ99RM,"52.171547,20.966053",0,13,151
1666454915,2022-10-22T16:08:35Z,WZZ99RM,"52.171337,20.966129",0,11,165
1666454919,2022-10-22T16:08:39Z,WZZ99RM,"52.171131,20.966072",0,11,185
1666454923,2022-10-22T16:08:43Z,WZZ99RM,"52.170963,20.965857",0,12,210
1666454927,2022-10-22T16:08:47Z,WZZ99RM,"52.170856,20.965595",0,9,233
1666454932,2022-10-22T16:08:52Z,WZZ99RM,"52.170788,20.965385",0,7,239
1666454937,2022-10-22T16:08:57Z,WZZ99RM,"52.170719,20.965157",0,6,241
1666454942,2022-10-22T16:09:02Z,WZZ99RM,"52.17065,20.964954",0,6,241
1666454949,2022-10-22T16:09:09Z,WZZ99RM,"52.170582,20.964739",0,5,241
1666454955,2022-10-22T16:09:15Z,WZZ99RM,"52.170498,20.964523",0,6,241
1666454963,2022-10-22T16:09:23Z,WZZ99RM,"52.170361,20.964092",0,8,241
1666454968,2022-10-22T16:09:28Z,WZZ99RM,"52.170261,20.963821",0,9,236
1666454974,2022-10-22T16:09:34Z,WZZ99RM,"52.170044,20.963621",0,9,210
1666454980,2022-10-22T16:09:40Z,WZZ99RM,"52.169804,20.96365",0,9,182
1666454988,2022-10-22T16:09:48Z,WZZ99RM,"52.169518,20.96386",0,9,157
1666454993,2022-10-22T16:09:53Z,WZZ99RM,"52.1693,20.964031",0,11,154
1666454997,2022-10-22T16:09:57Z,WZZ99RM,"52.169071,20.964241",0,13,151
1666455000,2022-10-22T16:10:00Z,WZZ99RM,"52.168869,20.964405",0,15,151
1666455005,2022-10-22T16:10:05Z,WZZ99RM,"52.168613,20.964642",0,16,151
1666455011,2022-10-22T16:10:11Z,WZZ99RM,"52.168148,20.965054",0,17,151
1666455017,2022-10-22T16:10:17Z,WZZ99RM,"52.167709,20.965443",0,18,151
1666455022,2022-10-22T16:10:22Z,WZZ99RM,"52.16732,20.965786",0,18,151
1666455031,2022-10-22T16:10:31Z,WZZ99RM,"52.166679,20.966358",0,19,151
1666455037,2022-10-22T16:10:37Z,WZZ99RM,"52.166187,20.96674",0,20,154
1666455043,2022-10-22T16:10:43Z,WZZ99RM,"52.165638,20.967236",0,20,151
1666455049,2022-10-22T16:10:49Z,WZZ99RM,"52.165123,20.967693",0,21,151
1666455054,2022-10-22T16:10:54Z,WZZ99RM,"52.164688,20.968075",0,21,151
1666455061,2022-10-22T16:11:01Z,WZZ99RM,"52.164124,20.968565",0,22,151
1666455068,2022-10-22T16:11:08Z,WZZ99RM,"52.16346,20.969152",0,22,151
1666455074,2022-10-22T16:11:14Z,WZZ99RM,"52.162876,20.969664",0,22,151
1666455081,2022-10-22T16:11:21Z,WZZ99RM,"52.162296,20.970154",0,23,151
1666455087,2022-10-22T16:11:27Z,WZZ99RM,"52.16169,20.970688",0,23,151
1666455092,2022-10-22T16:11:32Z,WZZ99RM,"52.161129,20.971174",0,23,151
1666455099,2022-10-22T16:11:39Z,WZZ99RM,"52.160492,20.971743",0,23,151
1666455109,2022-10-22T16:11:49Z,WZZ99RM,"52.159584,20.972557",0,23,151
1666455263,2022-10-22T16:14:23Z,WZZ99RM,"52.178543,20.956186",775,171,332
1666455269,2022-10-22T16:14:29Z,WZZ99RM,"52.182636,20.95281",1100,169,333
1666455277,2022-10-22T16:14:37Z,WZZ99RM,"52.188412,20.948025",1550,132,332
1666455283,2022-10-22T16:14:43Z,WZZ99RM,"52.192429,20.944672",1900,159,332
1666455291,2022-10-22T16:14:51Z,WZZ99RM,"52.197418,20.940552",2325,152,332
1666455297,2022-10-22T16:14:57Z,WZZ99RM,"52.201447,20.937117",2600,148,332
1666455306,2022-10-22T16:15:06Z,WZZ99RM,"52.206333,20.932957",2925,148,331
1666455311,2022-10-22T16:15:11Z,WZZ99RM,"52.209778,20.929871",3100,149,331
1666455315,2022-10-22T16:15:15Z,WZZ99RM,"52.2117,20.927811",3175,126,327
1666455318,2022-10-22T16:15:18Z,WZZ99RM,"52.213364,20.925503",3275,150,317
1666455320,2022-10-22T16:15:20Z,WZZ99RM,"52.214386,20.923618",3325,151,310
1666455324,2022-10-22T16:15:24Z,WZZ99RM,"52.215866,20.919571",3450,152,300
1666455327,2022-10-22T16:15:27Z,WZZ99RM,"52.216576,20.916399",3525,153,288
